stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code,stop_url
de:06633:201425::B,,Bad Karlshafen Kurzentrum,,51.645582,9.456326,0,de:06633:201425PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:201425::B
de:06633:201425::A,,Bad Karlshafen Kurzentrum,,51.645134,9.456033,0,de:06633:201425PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:201425::A
de:06633:203694::A,,Wesertal-Gieselwerder Schule,,51.59591,9.559141,0,de:06633:203694PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203694::A
de:06633:203693::B,,Wesertal-Gewissenruh,,51.626442,9.53566,0,de:06633:203693PARENT,0,B,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203693::B
de:06633:203693::A,,Wesertal-Gewissenruh,,51.626478,9.535627,0,de:06633:203693PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203693::A
de:06633:203692::A,,Wesertal-Weißehütte Ort,,51.565525,9.593048,0,de:06633:203692PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203692::A
de:06633:203783::A,,Trendelburg-Eberschütz Schulbushaltestelle,,51.540447,9.361483,0,de:06633:203783PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203783::A
de:06633:203792::A,,Trendelburg-Gottsbüren Langer Kamp,,51.581668,9.504606,0,de:06633:203792PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203792::A
de:06633:203793::A,,Trendelburg-Eberschütz Hof Lange,,51.54476,9.36447,0,de:06633:203793PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203793::A
de:06633:203793::B,,Trendelburg-Eberschütz Hof Lange,,51.54477,9.36475,0,de:06633:203793PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203793::B
de:06633:203802::A,,Trendelburg-Sielen Mitte,,51.554559,9.381275,0,de:06633:203802PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203802::A
de:06633:203802::B,,Trendelburg-Sielen Mitte,,51.554595,9.381131,0,de:06633:203802PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203802::B
de:06633:203803::A,,Trendelburg-Sielen Lehmkaute,,51.552905,9.375696,0,de:06633:203803PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203803::A
de:06633:203803::B,,Trendelburg-Sielen Lehmkaute,,51.553137,9.37639,0,de:06633:203803PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203803::B
de:06633:203804::A,,Trendelburg-Eberschütz Dorfgemeinschaftshaus,,51.541971,9.359938,0,de:06633:203804PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203804::A
de:06633:203804::B,,Trendelburg-Eberschütz Dorfgemeinschaftshaus,,51.541908,9.360024,0,de:06633:203804PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203804::B
de:06633:203807::A,,Trendelburg Diemelbrücke,,51.574679,9.429276,0,de:06633:203807PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203807::A
de:06633:203807::B,,Trendelburg Diemelbrücke,,51.574572,9.428986,0,de:06633:203807PARENT,0,B,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203807::B
de:06633:203808::A,,Trendelburg Bahnhof,,51.575692,9.430021,0,de:06633:203808PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203808::A
de:06633:203810::A,,Trendelburg-Gottsbüren Hofgeismarer Straße,,51.579026,9.498287,0,de:06633:203810PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203810::A
de:06633:203810::B,,Trendelburg-Gottsbüren Hofgeismarer Straße,,51.579095,9.498865,0,de:06633:203810PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203810::B
de:06633:203811::A,,Trendelburg-Friedrichsfeld,,51.573812,9.46113,0,de:06633:203811PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203811::A
de:06633:203811::B,,Trendelburg-Friedrichsfeld,,51.573929,9.46106,0,de:06633:203811PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203811::B
de:06633:203812::A,,Trendelburg-Weiler Exen,,51.57304,9.44202,0,de:06633:203812PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203812::A
de:06633:203812::B,,Trendelburg-Weiler Exen,,51.57332,9.44254,0,de:06633:203812PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203812::B
de:06633:203813::A,,Trendelburg Schule,,51.57773,9.430617,0,de:06633:203813PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203813::A
de:06633:203815::A,,Trendelburg Lieber,,51.57518,9.41726,0,de:06633:203815PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203815::A
de:06633:203815::B,,Trendelburg Lieber,,51.57502,9.417249,0,de:06633:203815PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203815::B
de:06633:201331::A,,Hofgeismar-Hombressen Vogelpark,,51.500844,9.465411,0,de:06633:201331PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:201331::A
de:06633:201355::B,,Hofgeismar Neue Straße,,51.49289,9.3831,0,de:06633:201355PARENT,0,B,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:201355::B
de:06633:203321::A,,Grebenstein-Udenhausen Post,,51.46265,9.46611,0,de:06633:203321PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203321::A
de:06633:203321::B,,Grebenstein-Udenhausen Post,,51.46251,9.46636,0,de:06633:203321PARENT,0,B,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203321::B
de:06633:203322::A,,Grebenstein-Udenhausen Kirche,,51.464222,9.464988,0,de:06633:203322PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203322::A
de:06633:203333::A,,Grebenstein-Udenhausen Feuerwehr,,51.464992,9.465629,0,de:06633:203333PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203333::A
de:06633:203403::A,,Hofgeismar-Hombressen Eichenweg,,51.489371,9.4559,0,de:06633:203403PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203403::A
de:06633:203403::B,,Hofgeismar-Hombressen Eichenweg,,51.489786,9.455516,0,de:06633:203403PARENT,0,B,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203403::B
de:06633:203449::A,,Immenhausen Schule,,51.43046,9.47653,0,de:06633:203449PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203449::A
de:06633:203703::A,,Reinhardswald Udenhäuser Stock,,51.480496,9.541288,0,de:06633:203703PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203703::A
de:06633:203703::B,,Reinhardswald Udenhäuser Stock,,51.480487,9.541144,0,de:06633:203703PARENT,0,B,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203703::B
de:06633:203714::A,,Reinhardshagen-Vaake Bergstraße,,51.47962,9.61133,0,de:06633:203714PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203714::A
de:06633:203718::A,,Reinhardshagen-Vaake F-L-Jahn-Straße,,51.47699,9.6182,0,de:06633:203718PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203718::A
de:06633:203718::B,,Reinhardshagen-Vaake F-L-Jahn-Straße,,51.4768,9.61827,0,de:06633:203718PARENT,0,B,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203718::B
de:06633:203719::A,,Reinhardshagen-Vaake Schlesierstraße,,51.477017,9.615438,0,de:06633:203719PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203719::A
de:06633:203719::B,,Reinhardshagen-Vaake Schlesierstraße,,51.476845,9.615908,0,de:06633:203719PARENT,0,B,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203719::B
de:06633:203720::A,,Reinhardshagen-Veckerhagen Schule,,51.486003,9.602467,0,de:06633:203720PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203720::A
de:03152:37806::B,,Hann. Münden Schloss,,51.417553,9.653982,0,de:03152:37806PARENT,0,,
de:03152:37769::B,,Hann. Münden Bahnhof,,51.41277,9.657364,0,de:03152:37769PARENT,0,,
de:03152:37804::A,,Hann. Münden Rotunde,,51.414496,9.650729,0,de:03152:37804PARENT,0,,
de:03152:37797::A,,Hann. Münden Mitscherlichstraße,,51.416336,9.658591,0,de:03152:37797PARENT,0,A,
de:06633:203685::A,,Wesertal-Arenborn,,51.60016,9.63939,0,de:06633:203685PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203685::A
de:06633:203685::B,,Wesertal-Arenborn,,51.60024,9.63948,0,de:06633:203685PARENT,0,B,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203685::B
de:03152:37780::A,,Hann. Münden Gimter Straße/Auefeld,,51.431172,9.642288,0,de:03152:37780PARENT,0,,
de:03152:37818::A,,Hann. Münden-Gimte Berliner Straße,,51.438662,9.640706,0,de:03152:37818PARENT,0,,
de:03152:37818::B,,Hann. Münden-Gimte Berliner Straße,,51.438302,9.640971,0,de:03152:37818PARENT,0,,
de:03152:37823::2,,Hann. Münden-Hemeln Alte Mühle,,51.49043,9.613404,0,de:03152:37823PARENT,0,,
de:03152:37823::1,,Hann. Münden-Hemeln Alte Mühle,,51.491232,9.612757,0,de:03152:37823PARENT,0,,
de:03152:37825::2,,Hann. Münden-Hemeln Sandweg,,51.499471,9.607975,0,de:03152:37825PARENT,0,,
de:03152:37825::1,,Hann. Münden-Hemeln Sandweg,,51.499091,9.608414,0,de:03152:37825PARENT,0,,
de:03155:11123::A,,Bodenfelde Lippoldsberger Straße,,51.629463,9.563738,0,de:03155:11123PARENT,0,A,
de:03155:11123::B,,Bodenfelde Lippoldsberger Straße,,51.629515,9.563903,0,de:03155:11123PARENT,0,B,
de:03155:11124::A,,Bodenfelde Raiffeisenstraße,,51.640362,9.552838,0,de:03155:11124PARENT,0,A,
de:03155:11124::B,,Bodenfelde Raiffeisenstraße,,51.640506,9.553066,0,de:03155:11124PARENT,0,B,
de:03155:11125::A,,Bodenfelde Schule,,51.645201,9.546841,0,de:03155:11125PARENT,0,,
de:06633:203913::B,,Wesertal-Vernawahlshausen Schwülmebrücke,,51.627115,9.621953,0,de:06633:203913PARENT,0,B,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203913::B
de:06633:203912::B,,Wesertal-Vernawahlshausen Trift,,51.621364,9.621558,0,de:06633:203912PARENT,0,B,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203912::B
de:06633:203910::A,,Wesertal-Lippoldsberg Schule,,51.62366,9.56521,0,de:06633:203910PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203910::A
de:06633:203688::B,,Wesertal-Heisebeck Kirche,,51.585537,9.656403,0,de:06633:203688PARENT,0,B,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203688::B
de:06633:203690::B,,Wesertal-Heisebeck Lichtenberg,,51.58773,9.65248,0,de:06633:203690PARENT,0,B,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203690::B
de:03152:37817::A,,Hann. Münden-Bursfelde Klosterhof,,51.542602,9.625133,0,de:03152:37817PARENT,0,,
de:03152:37817::B,,Hann. Münden-Bursfelde Klosterhof,,51.54271,9.624349,0,de:03152:37817PARENT,0,,
de:03152:37822::A,,Hann. Münden-Glashütte Bramburger Straße,,51.526993,9.618982,0,de:03152:37822PARENT,0,,
de:03152:37822::B,,Hann. Münden-Glashütte Bramburger Straße,,51.526847,9.618985,0,de:03152:37822PARENT,0,,
de:06633:203909::B,,Wesertal-Lippoldsberg Kreissparkasse,,51.623181,9.554566,0,de:06633:203909PARENT,0,B,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203909::B
de:06633:203695::B,,Wesertal-Oedelsheim Göttinger Straße,,51.588988,9.598594,0,de:06633:203695PARENT,0,B,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203695::B
de:06633:203695::A,,Wesertal-Oedelsheim Göttinger Straße,,51.588893,9.598602,0,de:06633:203695PARENT,0,A,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06633:203695::A
de:03155:11119::A,,Bodenfelde Amelither Straße,,51.643957,9.551337,0,de:03155:11119PARENT,0,A,
de:03155:11119::B,,Bodenfelde Amelither Straße,,51.643973,9.551549,0,de:03155:11119PARENT,0,B,
de:06634:204002::A,,Borken Schule,,51.046505,9.286005,0,de:06634:204002PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06634:204002::A
de:06634:204003::A,,Borken Mitte,,51.047444,9.280834,0,de:06634:204003PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06634:204003::A
de:06634:204003::B,,Borken Mitte,,51.047947,9.280994,0,de:06634:204003PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06634:204003::B
de:06634:204005::A,,Borken-Großenenglis Mitte,,51.076315,9.273675,0,de:06634:204005PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06634:204005::A
de:06634:204005::B,,Borken-Großenenglis Mitte,,51.076046,9.273545,0,de:06634:204005PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06634:204005::B
de:06634:204006::A,,Borken-Kleinenglis,,51.072159,9.255188,0,de:06634:204006PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06634:204006::A
de:06634:204007::A,,Borken-Gombeth,,51.06514,9.289187,0,de:06634:204007PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06634:204007::A
de:06634:204007::B,,Borken-Gombeth,,51.065212,9.289373,0,de:06634:204007PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06634:204007::B
de:06634:204008::A,,Borken Am Rathaus,,51.049358,9.277008,0,de:06634:204008PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06634:204008::A
de:06634:204017::B,,Borken-Singlis Singlis,,51.059183,9.319083,0,de:06634:204017PARENT,0,B,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06634:204017::B
de:06634:204017::A,,Borken-Singlis Singlis,,51.059132,9.318923,0,de:06634:204017PARENT,0,,https://haltestellen.nvv.de/hms-nvv/detailspage?dhid=de:06634:204017::A
