"from_stop_id","to_stop_id","transfer_type","min_transfer_time","from_route_id","to_route_id","from_trip_id","to_trip_id"
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:7:","de:nvv:3:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:7:","de:nvv:4:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:7:","de:nvv:5:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:7:","de:nvv:6:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:7:","de:nvv:7:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:7:","de:nvv:8:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:7:","de:nvv:RT4:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:7:","de:nvv:RT1:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:8:","de:nvv:1:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:8:","de:nvv:3:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:8:","de:nvv:4:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:8:","de:nvv:5:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:8:","de:nvv:6:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:8:","de:nvv:7:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:8:","de:nvv:8:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:8:","de:nvv:RT4:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:8:","de:nvv:RT1:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:RT4:","de:nvv:1:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:RT4:","de:nvv:3:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:RT4:","de:nvv:4:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:RT4:","de:nvv:5:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:RT4:","de:nvv:6:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:RT4:","de:nvv:7:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:RT4:","de:nvv:8:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:RT4:","de:nvv:RT4:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:RT4:","de:nvv:RT1:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:RT1:","de:nvv:1:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:RT1:","de:nvv:3:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:RT1:","de:nvv:4:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:RT1:","de:nvv:5:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:RT1:","de:nvv:6:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:RT1:","de:nvv:7:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:RT1:","de:nvv:8:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:RT1:","de:nvv:RT4:",,
"de:06611:200002::A","de:06611:200002::B",2,300,"de:nvv:RT1:","de:nvv:RT1:",,
"de:06611:200002::B","de:06611:200002::A",2,120,,,,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:1:","de:nvv:1:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:1:","de:nvv:3:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:1:","de:nvv:4:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:1:","de:nvv:5:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:1:","de:nvv:6:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:1:","de:nvv:7:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:1:","de:nvv:8:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:1:","de:nvv:RT4:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:1:","de:nvv:RT1:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:3:","de:nvv:1:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:3:","de:nvv:3:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:3:","de:nvv:4:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:3:","de:nvv:5:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:3:","de:nvv:6:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:3:","de:nvv:7:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:3:","de:nvv:8:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:3:","de:nvv:RT4:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:3:","de:nvv:RT1:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:4:","de:nvv:1:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:4:","de:nvv:3:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:4:","de:nvv:4:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:4:","de:nvv:5:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:4:","de:nvv:6:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:4:","de:nvv:7:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:4:","de:nvv:8:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:4:","de:nvv:RT4:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:4:","de:nvv:RT1:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:5:","de:nvv:1:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:5:","de:nvv:3:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:5:","de:nvv:4:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:5:","de:nvv:5:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:5:","de:nvv:6:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:5:","de:nvv:7:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:5:","de:nvv:8:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:5:","de:nvv:RT4:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:5:","de:nvv:RT1:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:6:","de:nvv:1:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:6:","de:nvv:3:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:6:","de:nvv:4:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:6:","de:nvv:5:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:6:","de:nvv:6:",,
"de:06611:200002::B","de:06611:200002::A",2,240,"de:nvv:6:","de:nvv:7:",,
